id,leftFileId,leftFilePath,rightFileId,rightFilePath,similarity,totalOverlap,longestFragment,leftCovered,rightCovered
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Cheryl_Barnett.py,0.551078337987501,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Kathryn_Walker.py,0.851205251154518,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Angela_Burns.py,0.39484487081147546,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Taylor_Clark.py,0.9271011557219534,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Charles_Boone.py,0.1850930116643057,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Christopher_Patterson.py,0.6155827597685117,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Christopher_Cunningham.py,0.18440248353540722,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Mary_Anderson.py,0.9455644970809743,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Shirley_Berry.py,0.39971045407591055,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Jenna_Morris.py,0.47756368565504026,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Kristin_Powell.py,0.5405249285289472,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Kim_Miller.py,0.665476140026393,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Daniel_Johnston.py,0.9268878046434177,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Chad_Thomas.py,0.7578237717485907,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Kyle_Williamson.py,0.46031039716678346,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Jennifer_Callahan.py,0.24864315401657366,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Ashley_Roberts.py,0.563573214335874,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Suzanne_Mitchell.py,0.16736833861184142,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Craig_Williams.py,0.041877555924037635,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Dustin_Jackson.py,0.5648515859854344,15,7,8,7
93,2,/tmp/amogus/Cheryl_Barnett.py,1,/tmp/amogus/Crystal_Henry.py,0.1795178552475457,15,7,8,7
